Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712810198.29,0,0,33.5,0.0,0.0,0.0,27.9071484375,31.450972353611075,1006.9226818050048,52.81293312121504,233745.5
1712810200.32,0,0,35.5,0.0,0.0,0.0,27.90666015625,31.450928399549667,1006.9218702767469,52.81972411948557,231917.0
1712810202.3,0,0,31.0,0.0,0.0,0.0,27.9059765625,31.467576361362305,1006.9052091257598,52.95914591181207,235654.5
1712810204.32,0,0,38.5,0.0,0.0,0.0,27.90548828125,31.45917717315995,1006.92078509321,52.828804860703215,235566.0
1712810206.27,0,0,38.5,0.0,0.0,0.0,27.9048046875,31.47025564344493,1006.9282739384674,52.76613819500719,236074.0
1712810208.32,0,0,38.5,0.0,0.0,0.0,27.90265625,31.475632080318626,1006.9221156823269,52.817670525662635,233336.0
1712810210.29,0,0,32.0,0.0,0.0,0.0,27.90001953125,31.478179259164378,1006.908245973566,52.933733163100186,234485.5
1712810212.32,0,0,31.0,0.0,0.0,0.0,27.8989453125,31.486438328606805,1006.9081855894794,52.93423843510591,233066.0
1712810214.28,0,0,31.0,0.0,0.0,0.0,27.8981640625,31.486367782502676,1006.9146495471024,52.88014742257467,234321.0
1712810216.35,0,0,37.5,0.0,0.0,0.0,27.89669921875,31.494591948004683,1006.9113524531697,52.907737784149035,234313.0
1712810218.26,0,0,42.5,0.0,0.0,0.0,27.89669921875,31.494591948004683,1006.9113524531697,52.907737784149035,234313.0
1712810220.32,0,0,36.5,0.0,0.0,0.0,27.893183593750003,31.499845710540797,1006.907234382691,52.942198250179715,234476.0
1712810222.29,0,0,33.0,0.0,0.0,0.0,27.892695312500003,31.516516752426924,1006.9029729227293,52.97785874304749,234979.5
1712810224.3,0,0,33.0,0.0,0.0,0.0,27.893671875,31.51939125494964,1006.8994210851845,53.0075811538351,232824.0
1712810226.29,0,0,38.5,0.0,0.0,0.0,27.893671875000003,31.52774890241314,1006.8994210841963,53.007581099571794,234321.0
1712810228.32,0,0,41.0,0.0,0.0,0.0,27.89455078125,31.536187186844533,1006.8982943802953,53.017009563249964,234069.5
1712810230.29,0,0,27.0,0.0,0.0,0.0,27.894453125,31.541751148688803,1006.9119318168387,52.90288979302657,234568.0
1712810232.32,0,0,38.0,0.0,0.0,0.0,27.8938671875,31.53612537009092,1006.9213077896754,52.82443091153151,234325.5
1712810234.28,0,0,38.0,0.0,0.0,0.0,27.891621093749997,31.530349933877126,1006.9192996477294,52.841235109094434,234490.0
1712810236.32,0,0,36.0,0.0,0.0,0.0,27.8895703125,31.52737823641815,1006.9133037308659,52.89140933689221,235064.0
1712810238.29,0,0,36.0,0.0,0.0,0.0,27.889179687499997,31.532915345808842,1006.911792016113,52.90405950420606,235231.0
1712810240.32,0,0,31.0,0.0,0.0,0.0,27.8868359375,31.543848851003098,1006.9113465199719,52.90778743722534,232738.0
1712810242.3,0,0,31.0,0.0,0.0,0.0,27.8876171875,31.538346690427414,1006.9212697442063,52.824749297834984,235251.5
1712810244.32,0,0,41.5,0.0,0.0,0.0,27.888203125,31.541185980181567,1006.9213811296512,52.82381719734782,235819.0
1712810246.29,0,0,46.5,0.0,0.0,0.0,27.888203125,31.538399688380757,1006.9179312250637,52.852686154944784,232166.0
1712810248.32,0,0,33.0,0.0,0.0,0.0,27.88859375,31.535648584857462,1006.9194429398012,52.84003605953332,235061.5
1712810250.29,0,0,28.0,0.0,0.0,0.0,27.88888671875,31.521744265572345,1006.9069927098674,52.944220673044015,234896.0
1712810252.32,0,0,28.0,0.0,0.0,0.0,27.8876171875,31.51884343039644,1006.8979829070684,53.019616025983865,235483.0
1712810254.29,0,0,30.5,0.0,0.0,0.0,27.88966796875,31.513456882645674,1006.9005288659589,52.99831099301984,232407.0
1712810256.32,0,0,28.5,0.0,0.0,0.0,27.8915234375,31.519196447995235,1006.8949878837595,53.04467896815365,232827.5
1712810258.3,0,0,37.0,0.0,0.0,0.0,27.8930859375,31.527695935760168,1006.8915473940383,53.073469736322124,235566.0
1712810260.33,0,0,35.5,0.0,0.0,0.0,27.895625,31.52792556543784,1006.8931798534476,53.05980898854486,232490.0
1712810262.28,0,0,35.5,0.0,0.0,0.0,27.8977734375,31.542051415922906,1006.8984755230127,53.01549372502645,232408.0
1712810264.32,0,0,35.0,0.0,0.0,0.0,27.899921875,31.545032306530075,1006.8908338376852,53.079440939522804,232984.5
1712810266.27,0,0,33.5,0.0,0.0,0.0,27.899921875,31.545032306530075,1006.8908338376852,53.079440939522804,232984.5
1712810268.33,0,0,37.0,0.0,0.0,0.0,27.90236328125,31.553613165289377,1006.8888539527255,53.09600909728303,234392.5
1712810270.29,0,0,37.0,0.0,0.0,0.0,27.901875,31.556355585924955,1006.8889049295565,53.0955825809774,231430.0
1712810272.32,0,0,33.5,0.0,0.0,0.0,27.901875,31.553568774280258,1006.8923549112625,53.066712251644105,233646.0
1712810274.29,0,0,40.5,0.0,0.0,0.0,27.9032421875,31.559266010494262,1006.8946271512065,53.04769765476827,234559.5
1712810276.32,0,0,25.5,0.0,0.0,0.0,27.90314453125,31.570405136594566,1006.901364812351,52.99131565278665,231917.5
1712810278.29,0,0,37.5,0.0,0.0,0.0,27.90421875,31.55378080627227,1006.8962501800336,53.03411581779099,233245.5
1712810280.3,0,0,37.5,0.0,0.0,0.0,27.90470703125,31.562185499944533,1006.8970616994341,53.02732495374775,235313.0
1712810282.3,0,0,38.5,0.0,0.0,0.0,27.9055859375,31.559478071233684,1006.8985224231214,53.015101258868214,234902.0
1712810284.32,0,0,45.0,0.0,0.0,0.0,27.906171875,31.559531083407084,1006.8969087415215,53.02860484855846,234236.5
1712810286.29,0,0,44.0,0.0,0.0,0.0,27.90548828125,31.559469237267148,1006.9035351115073,52.97315426635984,236243.0
1712810288.33,0,0,33.0,0.0,0.0,0.0,27.90421875,31.556567532449108,1006.8979751752429,53.01968073498316,234393.0
1712810290.28,0,0,33.0,0.0,0.0,0.0,27.9040234375,31.562123935132824,1006.9071380262124,52.943004675827495,234156.5
1712810292.3,0,0,30.0,0.0,0.0,0.0,27.90314453125,31.57876634927217,1006.9160272432848,52.86861876620861,234895.5
1712810294.38,0,0,39.5,0.0,0.0,0.0,27.9034375,31.5871546365663,1006.9441140454265,52.63359051708242,235314.0
1712810296.29,0,0,41.0,0.0,0.0,0.0,27.9024609375,31.606578973207657,1006.9959657419008,52.199709816442876,232665.5
1712810298.33,0,0,29.0,0.0,0.0,0.0,27.8997265625,31.611906905055534,1007.0164331588725,52.02844964601145,232987.0
1712810300.32,0,0,29.0,0.0,0.0,0.0,27.89865234375,31.628537249774872,1007.0267225276659,51.94235473716349,232665.5
1712810302.32,0,0,37.0,0.0,0.0,0.0,27.89611328125,31.62273108840165,1007.0302645101426,51.91271787127421,233976.0
1712810304.29,0,0,37.0,0.0,0.0,0.0,27.894648437500003,31.62259835058078,1007.0217922215365,51.983608337936914,234643.0
1712810306.32,0,0,31.5,0.0,0.0,0.0,27.89572265625,31.625483655283567,1007.0270277416673,51.939800914399356,233239.0
1712810308.28,0,0,31.5,0.0,0.0,0.0,27.89708984375,31.62560756032101,1007.0267128216553,51.94243606040314,234810.5
1712810310.32,0,0,35.5,0.0,0.0,0.0,27.89708984375,31.62839562413463,1007.0094629953801,52.08677177197573,231428.5
1712810312.3,0,0,42.5,0.0,0.0,0.0,27.89865234375,31.625749182050313,1007.0172351016278,52.02173935739498,234477.5
1712810314.32,0,0,42.0,0.0,0.0,0.0,27.899433593749997,31.62581998156594,1007.0271586244774,51.938705779129485,233824.0
1712810316.27,0,0,38.5,0.0,0.0,0.0,27.899433593749997,31.62581998156594,1007.0271586244774,51.938705779129485,233824.0
1712810318.31,0,0,38.5,0.0,0.0,0.0,27.90177734375,31.634397015667105,1007.0353668993305,51.87002476742934,232164.5
1712810320.3,0,0,34.0,0.0,0.0,0.0,27.90626953125,31.632015936478464,1007.0169587461687,52.024051736345285,232328.5
1712810322.32,0,0,28.0,0.0,0.0,0.0,27.9094921875,31.623943549762615,1007.0145527847791,52.04418345392264,229893.0
1712810324.29,0,0,28.5,0.0,0.0,0.0,27.9137890625,31.61875698350245,1006.9992695430043,52.172065183133626,231608.0
1712810326.34,0,0,37.0,0.0,0.0,0.0,27.91828125,31.62474019998107,1007.0006985089512,52.160108320242735,233081.0
1712810328.27,0,0,37.0,0.0,0.0,0.0,27.9235546875,31.614066000528126,1007.0060135108936,52.115635261693726,232838.0
1712810330.32,0,0,38.5,0.0,0.0,0.0,27.92814453125,31.617269924144615,1007.0239927678747,51.965195790449926,233727.0
1712810332.3,0,0,31.0,0.0,0.0,0.0,27.931269531250003,31.592462582718614,1007.0438500666103,51.79904412219879,231929.0
1712810334.32,0,0,39.0,0.0,0.0,0.0,27.93361328125,31.573163088583076,1007.0468832196403,51.773665175892305,232901.0
1712810336.27,0,0,39.0,0.0,0.0,0.0,27.9368359375,31.567880216814345,1007.0375765571378,51.85153599318155,231429.0
1712810338.32,0,0,40.5,0.0,0.0,0.0,27.94015625,31.5570324799981,1007.0353324592087,51.87031299984636,231694.5
1712810340.29,0,0,34.5,0.0,0.0,0.0,27.94357421875,31.543407471300814,1007.0349757083411,51.87329795657316,231674.5
1712810342.33,0,0,36.5,0.0,0.0,0.0,27.94728515625,31.52981012209825,1007.0316556191954,51.901078065891596,232328.5
1712810344.29,0,0,39.5,0.0,0.0,0.0,27.9508984375,31.52456397680298,1007.023860307774,51.96630387517277,231025.5
1712810346.33,0,0,39.5,0.0,0.0,0.0,27.9548046875,31.522130875345503,1007.0234523270925,51.969717577619704,231273.5
1712810348.3,0,0,34.5,0.0,0.0,0.0,27.9602734375,31.511480153884953,1007.031679294415,51.90087998869427,233729.5
1712810350.32,0,0,40.5,0.0,0.0,0.0,27.96515625,31.500777062884204,1007.0372072178145,51.85462634458804,232827.5
1712810352.29,0,0,36.0,0.0,0.0,0.0,27.9704296875,31.484538268510107,1007.0347584805327,51.875115652048095,233562.0
1712810354.32,0,0,33.5,0.0,0.0,0.0,27.9762890625,31.4739249420281,1007.0255200953424,51.952415882468756,231919.0
1712810356.28,0,0,33.5,0.0,0.0,0.0,27.9817578125,31.460491473784735,1007.0277086010118,51.93410393966409,232741.0
1712810358.32,0,0,33.0,0.0,0.0,0.0,27.9868359375,31.452594088400232,1007.0257973339523,51.950096128465496,235063.0
1712810360.29,0,0,38.5,0.0,0.0,0.0,27.9915234375,31.44744700466765,1007.031000252989,51.90656175308584,234143.0
1712810362.32,0,0,34.5,0.0,0.0,0.0,27.9958203125,31.433910203706297,1007.0312407939928,51.90454901849432,230295.0
1712810364.28,0,0,34.5,0.0,0.0,0.0,28.002265625,31.426137011975236,1007.0272883199685,51.93762057822072,233977.0
1712810366.33,0,0,33.0,0.0,0.0,0.0,28.00900390625,31.415605762385194,1007.0384873579736,51.843915147139725,234392.5
1712810368.26,0,0,32.5,0.0,0.0,0.0,28.00900390625,31.415605762385194,1007.0384873579736,51.843915147139725,234392.5
1712810370.32,0,0,36.5,0.0,0.0,0.0,28.01642578125,31.405136996838824,1007.0413334081686,51.8201015388714,233149.0
1712810372.29,0,0,34.0,0.0,0.0,0.0,28.022968749999997,31.389020930123657,1007.0444438817512,51.794075607232564,233319.0
1712810374.3,0,0,34.0,0.0,0.0,0.0,28.0282421875,31.3811439319782,1007.0635602502749,51.63412638178248,233727.0
1712810376.29,0,0,37.5,0.0,0.0,0.0,28.03341796875,31.373258471832248,1007.066123714538,51.61267767989895,230860.0
1712810378.32,0,0,30.5,0.0,0.0,0.0,28.0380078125,31.359752861787186,1007.0582238410593,51.678776540143105,232490.5
1712810380.3,0,0,39.0,0.0,0.0,0.0,28.04376953125,31.357488201218388,1007.0539967412061,51.71414519260689,233903.5
1712810382.33,0,0,40.5,0.0,0.0,0.0,28.04884765625,31.338460947628345,1007.0572602354521,51.686839104509346,233398.0
1712810384.27,0,0,40.5,0.0,0.0,0.0,28.051289062499997,31.33033089637084,1007.0483773143296,51.76116384383181,232822.5
1712810386.32,0,0,44.0,0.0,0.0,0.0,28.053828125000003,31.33055959403707,1007.05691057297,51.68976477083564,234811.0
1712810388.31,0,0,29.0,0.0,0.0,0.0,28.0587109375,31.325432765581493,1007.058986609499,51.672394346520235,233252.0
1712810390.33,0,0,33.5,0.0,0.0,0.0,28.062421875,31.30628581846542,1007.0539387359781,51.71463051931247,232983.0
1712810392.27,0,0,33.5,0.0,0.0,0.0,28.067402343749997,31.295603006088527,1007.057902323912,51.68146671262923,234395.5
1712810394.33,0,0,38.5,0.0,0.0,0.0,28.0719921875,31.29323364014548,1007.0638048333464,51.632079871938124,233561.5
1712810396.29,0,0,31.5,0.0,0.0,0.0,28.07677734375,31.27696889454395,1007.0562282697147,51.69547368431535,233479.5
1712810398.32,0,0,31.0,0.0,0.0,0.0,28.08126953125,31.26346165500232,1007.0490273544165,51.75572483408783,230699.5
1712810400.29,0,0,27.5,0.0,0.0,0.0,28.086054687500003,31.26389177677394,1007.0466268174166,51.77581051549874,234560.0
1712810402.32,0,0,27.5,0.0,0.0,0.0,28.09005859375,31.244778062117025,1007.0394768457279,51.83563582848117,230948.5
1712810404.3,0,0,31.5,0.0,0.0,0.0,28.0946484375,31.231282028163193,1007.02898667762,51.92340988889406,232738.0
1712810406.3,0,0,43.5,0.0,0.0,0.0,28.09875,31.217743325099235,1007.0306262093684,51.90969142599353,233896.5
1712810408.32,0,0,36.0,0.0,0.0,0.0,28.1020703125,31.204135412243772,1007.0292418675392,51.92127462619848,233065.5
1712810410.28,0,0,36.0,0.0,0.0,0.0,28.1067578125,31.193432418913066,1007.0266783926191,51.942724094474016,234059.5
1712810412.32,0,0,35.5,0.0,0.0,0.0,28.10958984375,31.177002141315892,1007.0408751269672,51.823936099480136,232195.5
1712810414.29,0,0,42.5,0.0,0.0,0.0,28.1106640625,31.171537214646506,1007.0504252335363,51.744028542559356,233317.0
1712810416.33,0,0,35.0,0.0,0.0,0.0,28.11369140625,31.163467430351496,1007.0442400476779,51.79578111023151,232741.0
1712810418.26,0,0,39.5,0.0,0.0,0.0,28.11369140625,31.163467430351496,1007.0442400476779,51.79578111023151,232741.0
1712810420.31,0,0,39.5,0.0,0.0,0.0,28.114375,31.155187948484965,1007.0453760485261,51.786275943192834,232821.0
1712810422.29,0,0,38.5,0.0,0.0,0.0,28.11515625,31.155257989109046,1007.032869875296,51.89091805428123,232736.0
1712810424.33,0,0,25.5,0.0,0.0,0.0,28.11515625,31.13857801267493,1007.0414976597265,51.81872725491765,230542.5
1712810426.29,0,0,40.0,0.0,0.0,0.0,28.1161328125,31.138665296326565,1007.04484607568,51.79071032175558,232983.0
1712810428.32,0,0,30.5,0.0,0.0,0.0,28.1159375,31.13308813834557,1007.0410703833197,51.82230233006745,232987.0
1712810430.29,0,0,30.5,0.0,0.0,0.0,28.116328125,31.13312314428568,1007.0494845488791,51.751899364934246,232827.5
1712810432.33,0,0,41.0,0.0,0.0,0.0,28.11935546875,31.125055201238872,1007.0441620101774,51.79643403203998,233647.0
1712810434.29,0,0,29.0,0.0,0.0,0.0,28.12072265625,31.122398079359165,1007.0317666370777,51.9001491463401,234310.0
1712810436.32,0,0,36.5,0.0,0.0,0.0,28.1216015625,31.1085798650747,1007.0168342321306,52.025093744154134,234478.5
1712810438.31,0,0,30.5,0.0,0.0,0.0,28.12443359375,31.108833018163203,1007.0224031526238,51.97849645802267,233065.5
1712810440.3,0,0,30.5,0.0,0.0,0.0,28.12599609375,31.097855985182065,1007.0275880178599,51.93511291103381,233565.0
1712810442.3,0,0,35.5,0.0,0.0,0.0,28.1274609375,31.092428804719297,1007.0317478227914,51.90030656177365,231926.5
1712810444.32,0,0,32.0,0.0,0.0,0.0,28.1290234375,31.087010627746515,1007.0446978889746,51.79195025447211,232736.0
1712810446.29,0,0,37.0,0.0,0.0,0.0,28.1282421875,31.09249872923147,1007.037360052317,51.853347541298845,232736.0
1712810448.34,0,0,37.0,0.0,0.0,0.0,28.12765625,31.07855169104104,1007.029484000846,51.91924864625152,232736.0
1712810450.29,0,0,33.0,0.0,0.0,0.0,28.12794921875,31.07857812864846,1007.0377359991803,51.85020191723311,233894.5
1712810452.32,0,0,36.5,0.0,0.0,0.0,28.128828125,31.073099241621215,1007.036608151846,51.85963887958454,234894.0
1712810454.3,0,0,39.0,0.0,0.0,0.0,28.1290234375,31.05922367854917,1007.0421094936664,51.8136078923294,234563.0
1712810456.32,0,0,33.5,0.0,0.0,0.0,28.128828125,31.056427842562208,1007.0374709495716,51.85241964023695,234145.5
1712810458.3,0,0,33.5,0.0,0.0,0.0,28.1266796875,31.05345737186719,1007.0347635413849,51.87507322420821,232656.5
